# freq_hz duration_ms
# cleaned for passive GPIO buzzer: rests preserved, very short events absorbed, low notes octave-shifted
0 243
440 417
494 870
440 719
554 394
659 267
220 499
370 802
440 661
330 278
0 117
294 139
0 93
220 371
554 301
330 581
440 383
220 232
330 197
554 209
220 150
0 256
330 185
0 210
220 396
277 558
220 406
440 394
247 301
0 94
330 394
554 301
0 175
277 187
880 220
0 860
880 360
220 220
370 708
880 243
0 152
831 210
246 162
880 185
246 325
831 150
416 429
247 267
330 359
0 1058
220 384
659 174
247 383
220 359
247 383
440 150
220 349
988 150
0 268
554 279
278 361
659 267
220 464
294 150
370 696
0 105
370 359
587 348
220 278
440 185
294 245
220 359
554 290
0 116
494 383
440 406
278 185
494 162
440 232
330 256
0 326
330 325
277 232
440 673
330 255
220 417
0 129
278 139
0 128
246 429
370 487
988 210
0 162
554 313
220 684
246 406
659 220
440 197
370 220
0 175
246 383
587 139
220 361
440 394
246 220
440 383
587 383
247 545
415 208
0 187
370 441
220 651
587 208
294 197
415 174
330 174
440 1091
587 208
0 152
220 220
0 209
277 872
247 1580
440 812
220 313
554 684
220 802
440 779
330 546
440 789
220 777
330 383
554 394
494 394
440 1150
330 396
494 429
416 429
415 406
554 766
416 406
415 162
0 233
659 268
416 1173
330 406
415 789
330 406
416 754
659 208
220 220
659 162
440 383
220 150
554 303
440 185
330 407
784 303
0 93
392 1184
587 406
392 348
554 372
659 394
392 278
0 256
220 232
392 150
440 998
277 336
220 174
0 210
330 406
440 779
330 383
440 801
330 394
440 593
587 372
370 187
587 1021
440 1010
350 452
349 394
350 383
587 812
349 1173
587 384
554 383
440 859
330 834
554 279
0 117
440 801
330 394
370 313
415 395
370 150
0 244
440 605
370 187
554 371
220 208
0 128
587 394
988 592
246 789
330 372
587 232
440 581
554 361
988 522
370 417
330 383
587 232
370 615
587 394
370 243
246 232
988 605
247 268
587 384
330 406
988 336
330 139
0 244
330 417
494 150
415 417
0 712
440 592
554 626
220 371
0 221
440 1034
247 406
554 139
0 256
494 150
330 139
0 221
440 139
0 267
494 372
330 487
416 301
0 94
659 255
330 359
659 278
494 383
416 417
330 732
247 1185
416 359
440 568
554 394
659 174
0 489
392 208
0 198
277 394
330 371
277 301
0 105
587 301
0 94
554 384
440 232
659 139
0 209
220 139
0 94
440 197
0 499
220 174
0 232
294 556
0 128
330 605
220 326
440 359
277 255
0 616
440 603
587 406
349 1034
587 314
350 140
0 674
440 452
349 417
350 150
0 245
587 419
554 348
349 267
440 522
350 185
659 220
0 186
330 336
494 208
0 175
220 417
554 336
330 220
494 407
880 383
220 174
440 1567
330 208
440 359
246 1195
370 406
587 789
246 371
294 384
440 384
294 580
440 406
246 372
415 301
0 94
440 290
0 104
277 407
220 1162
440 255
0 105
277 615
494 174
247 221
220 210
554 210
0 522
220 359
294 150
370 801
440 162
587 243
0 164
370 326
294 220
220 441
